gene,original_class,new_class,method
CUL7,Other,Metabolism,GO
CWF19L2,Other,Transcription,expression
DAP3,Other,Translation,GO
DARS,Other,Transport,expression
DCUN1D5,Other,Transcription,expression
DDB1,Other,Metabolism,GO
DDX20,Other,Transcription,GO
DDX24,Other,Translation,expression
DDX6,Other,Translation,GO
DERL2,Other,Chromatin,expression
DHDDS,Other,Metabolism,GO
DHODH,Other,Metabolism,GO
DHX33,Other,Transcription,GO
DLD,Other,Metabolism,GO
DNAJA3,Other,Transport,expression
DNAJC19,Other,Protein_Folding,expression
DNM1L,Other,Transport,expression
DSN1,Other,Chromatin,expression
DTYMK,Other,Metabolism,GO
DUT,Other,Metabolism,GO
DYNC1H1,Other,Chromatin,expression
DYNC1I2,Other,Chromatin,expression
DYNLL1,Other,Cell_Cycle,expression
DYNLRB1,Other,Chromatin,expression
EEF2,Other,Translation,GO
EIF2B5,Other,Translation,GO
EIF2S1,Other,Translation,GO
EIF6,Other,Translation,GO
EP400,Other,Signal_Transduction,expression
EPRS,Other,Transport,expression
ERCC2,Other,Transcription,GO
FAM136A,Other,Development,expression
FAM32A,Other,Transcription,expression
FBXO5,Other,Cell_Cycle,expression
FNTA,Other,Transcription,expression
GATA1,Other,Transcription,GO
GBF1,Other,Transport,expression
GEMIN5,Other,Translation,GO
GMPS,Other,Metabolism,GO
GNL2,Other,Translation,expression
GNL3,Other,Translation,expression
GNL3L,Other,Translation,expression
GPN1,Other,Transcription,expression
GPN2,Other,Development,expression
GPN3,Other,Transcription,expression
GPS1,Other,Protein_Folding,expression
GTPBP4,Other,Translation,expression
GUCD1,Other,Transcription,expression
HARS,Other,Transport,expression
HAUS4,Other,Chromatin,expression
HAUS5,Other,Chromatin,expression
HDAC7,Other,Transcription,GO
HGS,Other,Metabolism,GO
HMGCS1,Other,Metabolism,GO
HSCB,Other,Transport,expression
HSD17B12,Other,Metabolism,GO
HSF1,Other,Transcription,GO
HSPA8,Other,Metabolism,GO
HSPA9,Other,Transport,expression
HYPK,Other,Development,expression
IARS,Other,Transport,expression
IGBP1,Other,Chromatin,expression
ILF3,Other,Translation,GO
IMPDH2,Other,Metabolism,GO
INO80,Other,Transcription,GO
INTS3,Other,Transcription,GO
ISCU,Other,Transport,expression
KARS,Other,Transport,expression
KAT8,Other,Transcription,GO
KIF20A,Other,Cell_Cycle,expression
KPNB1,Other,Metabolism,GO
KRI1,Other,Translation,expression
LAMTOR2,Other,Chromatin,expression
LAMTOR4,Other,Development,expression
LARS,Other,Transport,expression
LETM1,Other,Transport,expression
LONP1,Other,Metabolism,GO
LSG1,Other,Translation,expression
LTV1,Other,Translation,GO
MAD2L1,Other,Transport,expression
MARS,Other,Transport,expression
MAT2A,Other,Metabolism,GO
MAU2,Other,DNA_Repair,expression
MDN1,Other,Translation,expression
METAP2,Other,Protein_Folding,expression
MICOS10,Other,Transport,expression
MIOS,Other,Transport,expression
MMS22L,Other,Cell_Cycle,expression
MOB4,Other,Signal_Transduction,expression
MRPL38,Other,Transport,expression
MRPL39,Other,Transport,expression
MRPL50,Other,Transport,expression
MRPL53,Other,Transport,expression
MRPL54,Other,Transport,expression
MRPS10,Other,Transport,expression
MRPS22,Other,Transport,expression
MRPS26,Other,Transport,expression
MTBP,Other,Cell_Cycle,expression
MTOR,Other,Metabolism,GO
MVD,Other,Metabolism,GO
MZT1,Other,Cell_Cycle,expression
NAA15,Other,Development,expression
NAA20,Other,Protein_Folding,expression
NAA25,Other,Chromatin,expression
NACA,Other,Transcription,GO
NARS,Other,Transport,expression
NCKAP1,Other,Development,expression
NDC80,Other,Chromatin,expression
NDUFA2,Other,Transcription,expression
NDUFA6,Other,Transport,expression
NDUFAB1,Other,Metabolism,GO
NEDD8,Other,Metabolism,GO
NEPRO,Other,Translation,expression
NFS1,Other,Metabolism,GO
NMD3,Other,Translation,expression
NOL12,Other,Translation,expression
NOM1,Other,Translation,expression
NOP10,Other,Translation,expression
NOP16,Other,Translation,expression
NPLOC4,Other,Metabolism,GO
NUBP1,Other,Transport,expression
NUDC,Other,Transcription,expression
NUDCD3,Other,Chromatin,expression
NUF2,Other,Transcription,expression
NUMA1,Other,DNA_Repair,expression
NUP54,Other,Chromatin,expression
NUP62,Other,Transcription,expression
NUP85,Other,Chromatin,expression
NUP88,Other,Transcription,expression
NUP98,Other,Transcription,GO
NUTF2,Other,Chromatin,expression
NVL,Other,Translation,GO
OGFOD1,Other,Translation,GO
OGT,Other,Transcription,GO
OPA1,Other,Transport,expression
OXA1L,Other,Transport,expression
PABPN1,Other,Transcription,expression
PAM16,Other,Protein_Folding,expression
PCNA,Other,Cell_Cycle,expression
PDAP1,Other,Transport,expression
PDCD7,Other,Transcription,expression
PFN1,Other,Transport,expression
PGAM1,Other,Cell_Cycle,expression
PGD,Other,Metabolism,GO
PGPEP1,Other,Transport,expression
PHB,Other,Protein_Folding,expression
PHB2,Other,Transcription,GO
PIAS4,Other,Transcription,GO
PKM,Other,Translation,GO
PMPCA,Other,Transport,expression
PMPCB,Other,Transport,expression
PNISR,Other,Cell_Cycle,expression
PNO1,Other,Translation,expression
POLA1,Other,Cell_Cycle,expression
POLD1,Other,Metabolism,GO
POLD3,Other,Metabolism,GO
POLR1B,Other,Transcription,GO
PPIL4,Other,Transcription,expression
PPP1CA,Other,Transcription,GO
PPP2R1A,Other,Transcription,GO
PPP4C,Other,Protein_Folding,expression
PPP4R2,Other,Protein_Folding,expression
PRELID1,Other,Transport,expression
PRMT1,Other,Translation,GO
PRMT5,Other,Transcription,GO
PSMC6,Other,Metabolism,GO
PSMD12,Other,Protein_Degradation,expression
PSMG4,Other,Translation,expression
PWP2,Other,Translation,expression
QARS,Other,Transport,expression
RACGAP1,Other,Chromatin,expression
RAD21,Other,Development,expression
RAD51,Other,Cell_Cycle,expression
RAD51C,Other,Cell_Cycle,expression
RAN,Other,Metabolism,GO
RANGAP1,Other,Transcription,expression
RARS,Other,Transport,expression
RBBP8,Other,Cell_Cycle,expression
RBM14,Other,Transcription,GO
RBX1,Other,Metabolism,GO
RIOK2,Other,Translation,expression
RMI1,Other,Chromatin,expression
ROMO1,Other,Transport,expression
RPA1,Other,Cell_Cycle,expression
RPA2,Other,Cell_Cycle,expression
RPA3,Other,Cell_Cycle,expression
RPAP1,Other,Development,expression
RPF2,Other,Translation,expression
RPL11,Other,Translation,GO
RPL23,Other,Translation,GO
RPS10-NUDT3,Other,Translation,expression
RPS15,Other,Translation,GO
RPS19,Other,Translation,GO
RPS19BP1,Other,Translation,expression
RPS3,Other,Translation,GO
RPS6,Other,Translation,GO
RPS7,Other,Translation,GO
RPTOR,Other,Translation,GO
RRM1,Other,Metabolism,GO
RRP1,Other,Translation,expression
RRP12,Other,Translation,expression
RRP7A,Other,Translation,expression
RRS1,Other,Translation,expression
RSL1D1,Other,Translation,expression
RTF1,Other,Transcription,GO
RUVBL1,Other,Transcription,GO
SAE1,Other,Chromatin,expression
SAMM50,Other,Transport,expression
SARS,Other,Transport,expression
SDAD1,Other,Translation,expression
SEC61G,Other,Transport,expression
SEH1L,Other,Transport,expression
SIN3A,Other,Transcription,GO
SKA3,Other,Signal_Transduction,expression
SMC1A,Other,Development,expression
SMC3,Other,Development,expression
SMN2,Other,Transcription,expression
SRFBP1,Other,Translation,expression
SS18L2,Other,Cell_Cycle,expression
SUGT1,Other,Signal_Transduction,expression
SURF6,Other,Translation,expression
SYMPK,Other,Chromatin,expression
TAF1D,Other,Translation,expression
TANGO6,Other,Development,expression
TARS,Other,Transport,expression
TBCB,Other,Protein_Folding,expression
TCP1,Other,Protein_Folding,expression
TELO2,Other,DNA_Repair,expression
TERF2,Other,Transcription,expression
TEX10,Other,Translation,expression
TIMM13,Other,Transport,expression
TIMM23B,Other,Transport,expression
TIMM44,Other,Transport,expression
TIMM9,Other,Transport,expression
TOMM22,Other,Transport,expression
TOMM40,Other,Transport,expression
TOP1,Other,Signal_Transduction,expression
TPR,Other,Signal_Transduction,expression
TPX2,Other,Chromatin,expression
TSG101,Other,Metabolism,GO
TTK,Other,Chromatin,expression
TUBGCP2,Other,Transcription,expression
TWISTNB,Other,Translation,expression
TXN,Other,Transcription,GO
U2SURP,Other,Transport,expression
UBE2I,Other,Transcription,GO
UBL5,Other,Transcription,expression
UBQLN4,Other,Metabolism,GO
UFL1,Other,Metabolism,GO
UQCC2,Other,Protein_Degradation,expression
UQCRB,Other,Transport,expression
UQCRC2,Other,Transport,expression
URI1,Other,Transcription,GO
UXT,Other,Transcription,GO
VARS,Other,Transport,expression
VPS28,Other,Metabolism,GO
VPS35,Other,Metabolism,GO
VPS54,Other,Transport,expression
WDR33,Other,Transport,expression
WDR70,Other,Transcription,expression
WDR74,Other,Metabolism,GO
WDTC1,Other,Metabolism,GO
XPO1,Other,Metabolism,GO
XRCC5,Other,Translation,expression
XRCC6,Other,Transcription,GO
ZCCHC9,Other,Translation,expression
ZNF207,Other,Transcription,expression
ZNHIT6,Other,Translation,expression
ZNRD1,Other,Translation,expression
