gene,old_class,new_class,correlation
SAE1,Other,Chromatin,0.36735284
SAMM50,Other,Transport,0.6426279
SARS,Other,Transport,0.65139544
SDAD1,Other,Translation,0.7810692
SEC61G,Other,Transport,0.70325214
SEH1L,Other,Transport,0.5113627
SKA3,Other,Signal_Transduction,0.3263932
SMC1A,Other,Development,0.60010695
SMC3,Other,Development,0.54403615
SMN2,Other,Transcription,0.73124915
SRFBP1,Other,Translation,0.5153125
SS18L2,Other,Cell_Cycle,0.4250958
SUGT1,Other,Signal_Transduction,0.3072631
SURF6,Other,Translation,0.59614015
SYMPK,Other,Chromatin,0.5649289
TAF1D,Other,Translation,0.411294
TANGO6,Other,Development,0.53568625
TARS,Other,Transport,0.58207715
TBCB,Other,Protein_Folding,0.45455745
TCP1,Other,Protein_Folding,0.61993396
TELO2,Other,DNA_Repair,0.5499362
TERF2,Other,Transcription,0.5103827
TEX10,Other,Translation,0.6805556
TIMM13,Other,Transport,0.5273487
TIMM23B,Other,Transport,0.75077564
TIMM44,Other,Transport,0.5998459
TIMM9,Other,Transport,0.35159293
TOMM22,Other,Transport,0.44364837
TOMM40,Other,Transport,0.3411593
TOP1,Other,Signal_Transduction,0.3490444
TPR,Other,Signal_Transduction,0.5246711
TPX2,Other,Chromatin,0.7568437
TSG101,Other,Protein_Degradation,0.67600584
TTK,Other,Chromatin,0.8425863
TUBGCP2,Other,Transcription,0.30007818
TWISTNB,Other,Translation,0.6581141
TXN,Other,Cell_Cycle,0.6471634
U2SURP,Other,Transport,0.424303
UBE2I,Other,Chromatin,0.3638196
UBL5,Other,Transcription,0.66349626
UBQLN4,Other,Transcription,0.40194315
UQCC2,Other,Protein_Degradation,0.49186465
UQCRB,Other,Transport,0.3917516
UQCRC2,Other,Transport,0.36661595
URI1,Other,Development,0.34671128
UXT,Other,Development,0.48794347
VARS,Other,Transport,0.7294353
VPS28,Other,Protein_Degradation,0.6664456
VPS35,Other,Signal_Transduction,0.5081597
VPS54,Other,Transport,0.63594246
WDR33,Other,Transport,0.6236423
WDR70,Other,Transcription,0.42727602
WDR74,Other,Translation,0.5735464
WDTC1,Other,DNA_Repair,0.3797627
XPO1,Other,Development,0.6411138
XRCC5,Other,Translation,0.5694239
XRCC6,Other,Translation,0.49849075
ZCCHC9,Other,Translation,0.51382315
ZNF207,Other,Transcription,0.49361375
ZNHIT6,Other,Translation,0.43196023
ZNRD1,Other,Translation,0.46868965
