target	class
GINS4	Cell_Cycle
GLE1	Transcription
GMPS	Metabolism
GNL2	Transcription
GNL3	Cell_Cycle
GNL3L	Other
GOLT1B	Transport
GPKOW	Transcription
GPN1	Other
GPN2	Development
GPN3	Transcription
GPS1	Chromatin
GRB2	Signal_Transduction
GRPEL1	Protein_Folding
GRSF1	Transcription
GSPT1	Translation
GTF2A1	Transcription
GTF2A2	Transcription
GTF2B	Transcription
GTF2E1	Transcription
GTF2E2	Transcription
GTF2F2	Transcription
GTF2H1	Transcription
GTF2H4	DNA_Repair
GTF3C3	Transcription
GTPBP4	Cell_Cycle
GUCD1	Transcription
HARS	Immune_Response
HARS2	Translation
HAUS4	Cell_Cycle
HAUS5	Cell_Cycle
HBS1L	Translation
HDAC7	Transcription
HEATR1	Transcription
HGS	Metabolism
HINFP	Transcription
HIRA	Chromatin
HMGCS1	Metabolism
HNRNPC	Transcription
HNRNPH1	Transcription
HNRNPL	Transcription
HNRNPM	Transcription
HNRNPU	Transcription
HSCB	Cell_Cycle
HSD17B12	Metabolism
HSF1	Transcription
HSPA5	Protein_Folding
HSPA8	Metabolism
HSPA9	Protein_Folding
HSPE1	Protein_Folding
HUWE1	Protein_Degradation
HYPK	Other
IARS	Immune_Response
IARS2	Transcription
ICE1	Transcription
IGBP1	Transport
IK	Transcription
ILF2	Transcription
ILF3	Translation
IMP4	Transcription
IMPDH2	Metabolism
INO80	Transcription
INO80B	DNA_Repair
INTS1	Transcription
INTS2	Transcription
INTS3	Transcription
INTS4	Transcription
INTS5	Transcription
INTS6	Transcription
INTS7	Transcription
INTS8	Transcription
INTS9	Transcription
IPO13	Transcription
IPO9	Cell_Cycle
ISCU	Transport
ISG20L2	Metabolism
JAZF1	Transcription
KANSL1	Transcription
KANSL2	Chromatin
KANSL3	Transcription
KARS	Immune_Response
KAT8	Transcription
KCTD10	Protein_Degradation
KIF20A	Other
KIN	DNA_Repair
KPNB1	Metabolism
KRI1	Cell_Cycle
KRR1	Transcription
LAMTOR2	Other
LAMTOR4	Other
LARS	Immune_Response
LAS1L	Transcription
LETM1	Protein_Folding
LIN54	Transcription
LONP1	Metabolism
LRPPRC	Transcription
LSG1	Translation
LSM10	Transcription
LSM11	Transcription
LSM2	Transcription
LSM3	Transcription
LSM4	Transcription
LSM5	Transcription
LSM6	Transcription
LSM7	Transcription
LTV1	Translation
LUC7L3	Transcription
MAD2L1	Cell_Cycle
MAGOH	Transcription
MAK16	Transcription
MARS	Immune_Response
MARS2	Transcription
MAT2A	Metabolism
MAU2	Chromatin
MAX	Transcription
MCM10	Cell_Cycle
MCM2	Cell_Cycle
MCM3	Cell_Cycle
MCM3AP	Transcription
MCM4	Cell_Cycle
MCM6	Cell_Cycle
MCMBP	Cell_Cycle
MDN1	Translation
MED1	Development
MED10	Transcription
MED11	Transcription
MED12	Development
MED14	Transcription
MED17	Transcription
MED19	Transcription
MED20	Transcription
MED21	Transcription
MED22	Transcription
MED26	Transcription
MED28	Transcription
MED29	Transcription
MED30	Transcription
MED31	Transcription
MED4	Transcription
MED6	Transcription
MED7	Transcription
MED8	Transcription
MED9	Transcription
METAP2	Other
METTL14	Transcription
METTL16	Transcription
METTL3	Transcription
MEX3A	Development
MFAP1	Transcription
MICOS10	Other
MIOS	DNA_Repair
MMS22L	Cell_Cycle
MNAT1	Transcription
MOB4	Development
MPHOSPH10	Transcription
MRGBP	Transcription
MRPL10	Translation
MRPL13	Translation
MRPL14	Translation
MRPL16	Translation
MRPL17	Translation
MRPL18	Translation
MRPL19	Translation
MRPL2	Translation
MRPL22	Translation
MRPL24	Translation
MRPL27	Translation
MRPL3	Translation
MRPL32	Translation
MRPL33	Translation
MRPL35	Translation
MRPL36	Translation
MRPL37	Translation
MRPL38	Other
MRPL39	Other
MRPL4	Translation
MRPL41	Translation
MRPL43	Translation
MRPL49	Translation
MRPL50	Other
MRPL51	Translation
MRPL53	Other
MRPL54	Other
MRPL55	Translation
MRPS10	Other
MRPS11	Translation
MRPS14	Translation
MRPS18A	Translation
MRPS2	Translation
MRPS21	Translation
MRPS22	Other
MRPS23	Translation
MRPS24	Translation
MRPS26	Other
MRPS27	Translation
MRPS28	Translation
MRPS34	Translation
MRPS35	Translation
MRPS7	Translation
MRPS9	Translation
MTBP	Cell_Cycle
MTOR	Metabolism
MTPAP	Transcription
MVD	Metabolism
MYBBP1A	Transcription
MYBL2	Transcription
MZT1	Other
N6AMT1	Other
NAA10	Development
NAA15	Cell_Cycle
NAA20	Chromatin
NAA25	Cell_Cycle
NACA	Transcription
NAE1	Other
NARS	Immune_Response
NAT10	Transcription
NBAS	Transport
NCAPH	Chromatin
NCBP1	Transcription
NCBP2	Transcription
NCKAP1	DNA_Repair
NCL	Transcription
NDC80	Chromatin
NDUFA2	Transcription
NDUFA6	Other
NDUFA8	Transport
NDUFAB1	Metabolism
NDUFB10	Transport
NDUFB4	Transport
NDUFB8	Transport
NEDD1	Cell_Cycle
NEDD8	Metabolism
NELFA	Transcription
NELFB	Transcription
NELFCD	Transcription
NELFE	Transcription
NEPRO	Other
NFRKB	DNA_Repair
NFS1	Metabolism
NIFK	Transcription
NIP7	Translation
NKAP	Transcription
NLE1	Signal_Transduction
NMD3	Translation
NOB1	Transcription
NOC3L	Cell_Cycle
NOC4L	Transcription
NOL11	Transcription
NOL12	Cell_Cycle
NOL6	Transcription
NOL8	Transcription
NOLC1	Cell_Cycle
NOM1	Cell_Cycle
NOP10	Other
NOP14	Transcription
NOP16	Other
NOP2	Transcription
NOP58	Transcription
NPLOC4	Metabolism
NRBP1	Transport
NRDE2	Transcription
NRF1	Transcription
NSA2	Transcription
NSRP1	Transcription
NUBP1	Cell_Cycle
NUDC	Cell_Cycle
NUDCD3	Cell_Cycle
NUDT21	Transcription
NUF2	Transcription
NUFIP1	Other
NUMA1	Other
NUP107	Transcription
NUP133	Development
NUP160	Transport
NUP54	Cell_Cycle
NUP62	Transcription
NUP85	Cell_Cycle
NUP88	Cell_Cycle
NUP98	Transcription
NUTF2	Transcription
NVL	Translation
OGFOD1	Translation
OGT	Transcription
OPA1	Protein_Folding
ORC1	Cell_Cycle
ORC5	Cell_Cycle
OXA1L	Other
PABPN1	Transcription
PAF1	Transcription
PAM16	Protein_Folding
PAXBP1	Transcription
PCBP1	Transcription
PCF11	Transcription
PCID2	Transcription
PCNA	Cell_Cycle
PDAP1	Chromatin
PDCD11	Transcription
PDCD2	Development
PDCD7	Transcription
PDRG1	Protein_Folding
PELO	Transcription
PELP1	Transcription
PES1	Transcription
PET117	Development
PFDN2	Protein_Folding
PFN1	DNA_Repair
PGAM1	Other
PGD	Metabolism
PGPEP1	Other
PHAX	Transcription
PHB	Protein_Folding
PHB2	Transcription
PHF5A	Transcription
PIAS4	Transcription
PKM	Translation
PLRG1	Transcription
PMF1	Chromatin
PMPCA	Protein_Folding
PMPCB	Protein_Folding
PNISR	Chromatin
PNN	Transcription
PNO1	Other
PNPT1	Transcription
POLA1	Cell_Cycle
POLA2	Cell_Cycle
POLD1	Metabolism
POLD2	Cell_Cycle
POLD3	Metabolism
POLE	Cell_Cycle
POLR1A	Transcription
POLR1B	Transcription
POLR1C	Transcription
POLR1E	Transcription
POLR2A	Transcription
POLR2B	Transcription
POLR2C	Transcription
POLR2D	Transcription
POLR2E	Transcription
POLR2F	Transcription
POLR2G	Transcription
POLR2H	Transcription
POLR2I	Transcription
POLR2L	Transcription
POLR3B	Immune_Response
POLR3C	Immune_Response
POLR3D	Immune_Response
POLR3E	Immune_Response
POLR3F	Immune_Response
POLRMT	Transcription
POP1	Transcription
POP4	Transcription
POP5	Transcription
POP7	Transcription
PPAN	Transcription
PPARGC1B	Transcription
PPIE	Transcription
PPIH	Transcription
PPIL4	Transcription
PPP1CA	Transcription
PPP1R11	Protein_Degradation
PPP1R8	Transcription
PPP2R1A	Transcription
PPP4C	DNA_Repair
PPP4R2	Protein_Folding
PPRC1	Transcription
PRELID1	Immune_Response
PRELID3B	Transport
PRIM1	Cell_Cycle
PRIM2	Cell_Cycle
PRMT1	Translation
PRMT5	Transcription
PRPF18	Transcription
PRPF19	Transcription
PRPF3	Transcription
PRPF31	Transcription
PRPF4	Transcription
PRPF40A	Transcription
PRPF4B	Transcription
PRPF6	Transcription
PRPF8	Transcription
PRRC2A	Other
PSMA1	Protein_Degradation
PSMA2	Protein_Degradation
PSMA3	Protein_Degradation
PSMA4	Protein_Degradation
PSMA6	Protein_Degradation
PSMA7	Protein_Degradation
PSMB1	Metabolism
PSMB2	Metabolism
PSMB3	Protein_Degradation
PSMB5	Protein_Degradation
PSMB6	Protein_Degradation
PSMB7	Protein_Degradation
PSMC1	Protein_Degradation
PSMC2	Protein_Degradation
PSMC3	Protein_Degradation
PSMC4	Protein_Degradation
PSMC6	Metabolism
PSMD1	Protein_Degradation
PSMD11	Protein_Degradation
PSMD12	Protein_Degradation
PSMD13	Protein_Degradation
PSMD2	Protein_Degradation
PSMD3	Protein_Degradation
PSMD4	Protein_Degradation
PSMD6	Protein_Degradation
PSMD7	Protein_Degradation
PSMG3	Protein_Degradation
PSMG4	Other
PTBP1	Transcription
PTCD1	Transcription
PUF60	Transcription
PWP2	Other
QARS	Immune_Response
RABGGTA	Transport
RACGAP1	Other
RAD21	Chromatin
RAD51	Other
RAD51C	Cell_Cycle
RAE1	Transcription
RAN	Metabolism
RANGAP1	Transcription
RARS	Immune_Response
RARS2	Transcription
RBBP4	Transcription
RBBP6	Protein_Degradation
RBBP8	Cell_Cycle
RBM14	Transcription
RBM17	Transcription
RBM19	Development
RBM25	Transcription
RBM28	Transcription
RBM39	Transcription
RBM4	Transcription
RBM42	Transcription
RBM48	Transcription
RBM8A	Transcription
RBMX	Transcription
RBMX2	Transcription
RBX1	Metabolism
RCC1	Transcription
RCL1	Transcription
REXO2	Metabolism
RFC1	Transcription
RFC2	Cell_Cycle
RFC3	Cell_Cycle
RFC4	Cell_Cycle
RFC5	Cell_Cycle
RINT1	Transport
RIOK1	Transcription
RIOK2	Other
RMI1	Other
RNASEH2C	Transcription
RNF113A	Transcription
RNF20	Protein_Degradation
RNF40	Protein_Degradation
RNGTT	Transcription
RNMT	Transcription
RNPC3	Transcription
RNPS1	Transcription
ROMO1	Other
RPA1	Transcription
RPA2	Chromatin
RPA3	Cell_Cycle
RPAP1	Development
RPAP2	Transcription
RPF1	Transcription
RPF2	Other
RPL10	Translation
RPL10A	Translation
RPL11	Translation
RPL12	Translation
RPL13	Translation
RPL13A	Translation
RPL14	Translation
RPL15	Translation
RPL17	Translation
RPL18	Translation
RPL18A	Translation
RPL19	Translation
RPL21	Translation
RPL23	Translation
RPL23A	Translation
RPL24	Translation
RPL26	Translation
RPL27	Translation
RPL27A	Translation
RPL30	Translation
RPL31	Translation
RPL32	Translation
RPL34	Translation
RPL35	Translation
RPL35A	Translation
RPL36	Translation
RPL36A	Translation
RPL37	Translation
RPL37A	Translation
RPL38	Translation
RPL39	Translation
RPL4	Translation
RPL5	Translation
RPL6	Translation
RPL7	Translation
RPL7L1	Transcription
RPL8	Translation
RPL9	Translation
RPLP0	Translation
RPLP1	Translation
RPLP2	Translation
RPP14	Transcription
RPP30	Transcription
RPP38	Transcription
RPP40	Transcription
RPS10	Translation
RPS10-NUDT3	Cell_Cycle
RPS11	Translation
RPS12	Translation
RPS13	Translation
RPS14	Translation
RPS15	Translation
RPS15A	Translation
RPS16	Translation
RPS17	Translation
RPS18	Translation
RPS19	Translation
RPS19BP1	Cell_Cycle
RPS2	Translation
RPS20	Translation
RPS21	Translation
RPS23	Translation
RPS24	Translation
RPS26	Translation
RPS27	Translation
RPS27A	Translation
RPS28	Translation
RPS29	Translation
RPS3	Translation
RPS3A	Translation
RPS4X	Translation
RPS5	Translation
RPS6	Translation
RPS7	Translation
RPS9	Translation
RPSA	Translation
RPTOR	Translation
RPUSD4	Transcription
RRM1	Metabolism
RRN3	Transcription
RRP1	Other
RRP12	Cell_Cycle
RRP7A	Other
RRP9	Transcription
RRS1	Cell_Cycle
RSL1D1	Cell_Cycle
RSL24D1	Translation
RTCB	Transcription
RTF1	Transcription
RUVBL1	Transcription
SAE1	Translation
SAMM50	Protein_Folding
SAP130	Transcription
SAP18	Transcription
SARS	Other
SARS2	Transcription
SART1	Transcription
SART3	Transcription
SBNO1	Signal_Transduction
SCAF1	Transcription
SCFD1	Transport
SDAD1	Cell_Cycle
SDC1	Development
SDE2	Transcription
SDHC	Transcription
SEC13	Transport
SEC61A1	Translation
SEC61G	Other
SEH1L	DNA_Repair
SEM1	Protein_Degradation
SERBP1	Translation
SETD1A	Chromatin
SETDB1	Chromatin
SF1	Transcription
SF3A1	Transcription
SF3A2	Transcription
SF3B2	Transcription
SF3B3	Transcription
SF3B4	Transcription
SF3B5	Transcription
SFPQ	Transcription
SFSWAP	Transcription
SIN3A	Transcription
SKA3	Cell_Cycle
SKP1	Protein_Degradation
SLBP	Transcription
SLC39A9	Transport
SLC7A5	Transport
SLC7A6OS	Development
SLU7	Transcription
SMARCB1	Transcription
SMC1A	Transcription
SMC2	Chromatin
SMC3	Metabolism
SMC4	Chromatin
SMG5	Transcription
SMN2	Transcription
SMU1	Transcription
SNAPC1	Transcription
SNAPC2	Transcription
SNAPC3	Transcription
SNAPC5	Transcription
SNIP1	Transcription
SNRNP200	Transcription
SNRNP25	Transcription
SNRNP27	Transcription
SNRNP35	Transcription
SNRNP48	Transcription
SNRNP70	Transcription
SNRPA1	Transcription
SNRPB	Transcription
SNRPC	Transcription
SNRPD1	Transcription
SNRPD3	Transcription
SNRPE	Transcription
SNRPF	Transcription
SNRPG	Transcription
SNW1	Transcription
SON	Transcription
SPC24	Chromatin
SPC25	Chromatin
SPCS3	Signal_Transduction
SRBD1	Metabolism
SRFBP1	Other
SRP54	Translation
SRP68	Translation
SRP72	Translation
SRPRB	Translation
SRRM1	Transcription
SRRM2	Transcription
SRRT	Transcription
SRSF1	Transcription
SRSF10	Transcription
SRSF11	Transcription
SRSF2	Transcription
SRSF3	Transcription
SRSF7	Transcription
SS18L2	Other
SSBP1	Cell_Cycle
SSRP1	Chromatin
SSU72	Transcription
STARD7	Other
STRAP	Transcription
SUGP1	Transcription
SUGT1	Other
SUPT16H	Transcription
SUPT4H1	Transcription
SUPT5H	Transcription
SUPT6H	Transcription
SUPV3L1	Transcription
SURF6	Cell_Cycle
SYF2	Transcription
SYMPK	Transcription
TADA3	Transcription
TAF1	Transcription
TAF10	Transcription
TAF12	Transcription
TAF1C	Transcription
TAF1D	Cell_Cycle
TAF2	Transcription
TAF5	Transcription
TAF6	Transcription
TAF7	Transcription
TAF8	Transcription
TANGO6	Transcription
TARS	Immune_Response
TBCB	Transcription
TBL3	Transcription
TBP	Transcription
TCERG1	Transcription
TCOF1	Development
TCP1	Other
TEFM	Transcription
TELO2	DNA_Repair
TERF2	Transcription
TEX10	Cell_Cycle
TFDP1	Transcription
TFIP11	Other
THAP1	Transcription
THAP11	Transcription
THG1L	Transcription
THOC1	Transcription
THOC2	Transcription
THOC3	Transcription
THOC5	Transcription
THOC6	Transcription
THOC7	Transcription
TICRR	Cell_Cycle
TIMM13	Protein_Folding
TIMM23B	Protein_Folding
TIMM44	Protein_Folding
TIMM9	Cell_Cycle
TMA16	Translation
TMSB10	DNA_Repair
TMX2	Development
TNPO3	Transcription
TOMM22	Protein_Folding
TOMM40	Protein_Folding
TOP1	Cell_Cycle
TPR	Development
TPX2	Chromatin
TRA2B	Transcription
TREX2	DNA_Repair
TRMT10C	Transcription
TRMT112	Transcription
TRMT5	Transcription
TRPM7	Transport
TRRAP	Transcription
TSEN2	Transcription
TSG101	Metabolism
TSR1	Transcription
TSR2	Transcription
TTC27	Transcription
TTI1	DNA_Repair
TTK	Transcription
TUBGCP2	Cell_Cycle
TUT1	Transcription
TWISTNB	Other
TXN	Transcription
TXNL4A	Transcription
U2AF1	Transcription
U2AF2	Transcription
U2SURP	Transcription
UBA1	Protein_Degradation
UBA2	Translation
UBA3	Protein_Degradation
UBA52	Translation
UBAP1	Protein_Degradation
UBE2I	Transcription
UBL5	Transcription
UBQLN4	Metabolism
UFL1	Metabolism
UFM1	Transcription
UPF1	Transcription
UPF2	Transcription
UQCC2	Other
UQCRB	Immune_Response
UQCRC2	Other
UQCRFS1	Transport
UQCRQ	Development
URB2	Translation
URI1	Transcription
USP36	Other
USP39	Transcription
USP5	Protein_Degradation
USPL1	Transcription
UTP15	Transcription
UTP18	Transcription
UTP20	Transcription
UTP23	Transcription
UTP3	Development
UTP6	Transcription
UXT	Transcription
VARS	Immune_Response
VPS28	Metabolism
VPS29	Transport
VPS35	Metabolism
VPS54	Development
VPS72	Transcription
WAC	Chromatin
WBP11	Transcription
WDHD1	Cell_Cycle
WDR12	Transcription
WDR24	Signal_Transduction
WDR3	Transcription
WDR33	Transcription
WDR36	Transcription
WDR43	Transcription
WDR46	Transcription
WDR5	Transcription
WDR55	Transcription
WDR61	Transcription
WDR70	Transcription
WDR74	Metabolism
WDR75	Transcription
WDR82	Transcription
WDTC1	Metabolism
XAB2	Transcription
XPO1	Metabolism
XRCC5	Translation
XRCC6	Transcription
XRN2	Transcription
YEATS2	Transcription
YEATS4	Transcription
YTHDC1	Transcription
ZBTB17	Transcription
ZC3H18	Other
ZCCHC9	Other
ZCRB1	Transcription
ZFC3H1	Chromatin
ZMAT2	Transcription
ZMAT5	Transcription
ZNF207	Transcription
ZNF236	Transcription
ZNF335	Development
ZNF574	Transcription
ZNHIT6	Other
ZNRD1	Cell_Cycle
ctrl	Other
